id,idc,name,address,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,borough,zip,cell,picksup,url
1,1,Angel Street Thrift Shop,118 West 17th Street ,Books,"1100,1900","1100,1900","1100,1900","1100,1900","1100,1900","1000,1900","1200,1700",Manhattan,10011,(212) 229-0546,0,http://www.angelstreetthrift.org
2,2,Arthritis Foundation Thrift,1430 Third Ave ,Books,"1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1200,1700",Manhattan,10028,(212) 772-8816,0,http://www.arthritis.org/new-york/about-us/arthritis-foundation-thrift-shop.php
3,3,Big Reuse,3-17 26th Avenue ,Books,"1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1000,1800",Queens,11102,(800) 957-1986,1,http://www.bigreuse.org/donate
4,3,Big Reuse,3-17 26th Avenue ,Glass,"1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1000,1800",Queens,11102,(800) 957-1986,1,http://www.bigreuse.org/donate
5,3,Big Reuse,3-17 26th Avenue ,Home Appliances,"1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1000,1800",Queens,11102,(800) 957-1986,1,http://www.bigreuse.org/donate
6,4,Big Reuse,69 9th St. ,Books,"1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1000,1800",Brooklyn,11215,(800) 957-1986,1,http://www.bigreuse.org/donate
7,4,Big Reuse,69 9th St. ,Glass,"1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1000,1800","1000,1800",Brooklyn,11215,(800) 957-1986,1,http://www.bigreuse.org/donate
8,5,Bowery Mission,227 Bowery ,Books,"1200,2330","1200,2330","1200,2330","1200,2330","1200,2330","1200,2330","1200,2330",Manhattan,10002,(212) 674-3456,0,http://bowery.org/donate
9,6,Broadway Thrift Shop,41-14 Broadway ,Books,"0900,2000","0900,2000","0900,2000","0900,2000","0900,2000","0900,2000","1030,2000",Queens,11103,(718) 721-8524,1,
10,6,Broadway Thrift Shop,41-14 Broadway ,Electronics,"0900,2000","0900,2000","0900,2000","0900,2000","0900,2000","0900,2000","1030,2000",Queens,11103,(718) 721-8524,1,
